,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Plouzane,FR,62.92,broken clouds,48.3833,-4.6167,Lymina
18,Castro,BR,63.99,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
57,Oneonta,US,62.11,overcast clouds,42.4529,-75.0638,Hampton Inn Oneonta
77,Bereda,ES,63.14,broken clouds,43.2686,-7.5406,Pazo de Verdes
97,Lima,PE,61.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
110,Mapimi,MX,61.57,clear sky,25.8167,-103.85,Propiedad Lldm
139,Guerrero Negro,MX,62.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
141,Taltal,CL,61.23,few clouds,-25.4,-70.4833,Residencial Karime
143,Airai,TL,63.36,overcast clouds,-8.9266,125.4092,Juvinal Martin
150,Rawson,AR,61.25,clear sky,-43.3002,-65.1023,Hosteria Sampedro
151,Wajima,JP,61.63,moderate rain,37.4,136.9,Wajiima Onsen Yashio
158,Simao,CN,61.48,overcast clouds,22.7886,100.9748,Changyu Hotel
187,Saint George,US,63.32,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
203,Port Macquarie,AU,62.56,clear sky,-31.4333,152.9167,Rydges Port Macquarie
207,Khandbari,NP,61.61,few clouds,27.3747,87.2039,Sainik Hotel And Lodge
220,Kerman,IR,64.26,clear sky,30.2832,57.0788,هتل آپارتمان آسام
226,Lompoc,US,61.79,moderate rain,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
232,Margate,GB,62.69,few clouds,51.3813,1.3862,Premier Inn Margate hotel
257,Kundiawa,PG,60.66,overcast clouds,-6.0167,144.9667,Pari
379,Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,departamento comodo
454,Paris,FR,60.26,broken clouds,48.8534,2.3488,Hôtel Britannique - Paris Centre
464,Constitucion,CL,62.96,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
486,Shaoguan,CN,60.24,few clouds,24.8,113.5833,Shangcheng Hotel
526,Trelew,AR,63.55,few clouds,-43.249,-65.3051,Hotel Touring Club
534,Kaeo,NZ,62.33,broken clouds,-35.1,173.7833,Bushido Lodge
557,Gurlan,UZ,60.87,broken clouds,41.8447,60.3919,ÒJIQ OVUL
565,Broome,US,61.21,clear sky,42.2506,-75.833,Chenango Valley State Park
646,Orange,US,62.38,broken clouds,33.7,-117.7675,Meadows
653,Rosarito,MX,62.11,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
660,Coquimbo,CL,60.53,broken clouds,-29.9533,-71.3436,Punto de encuentro
671,Isla Vista,US,62.01,mist,34.4133,-119.861,Best Western Plus South Coast Inn
681,Plettenberg Bay,ZA,64.15,clear sky,-34.0527,23.3716,Thanda Vista B&B
684,Wellington,NZ,60.46,broken clouds,-41.2866,174.7756,CityLife Wellington
692,Nelson Bay,AU,64.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
