,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,83.89,84,20,0.0,few clouds
1,Mataura,NZ,-46.1927,168.8643,49.53,99,100,2.1,moderate rain
2,Bethel,US,41.3712,-73.414,68.36,92,90,1.01,overcast clouds
3,Albany,US,42.6001,-73.9662,56.23,95,100,2.64,overcast clouds
4,Kiruna,SE,67.8557,20.2251,22.12,93,90,1.14,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,74.28,75,100,18.16,overcast clouds
6,Mackay,AU,-21.15,149.2,76.68,75,99,6.06,overcast clouds
7,Hilo,US,19.7297,-155.09,72.28,92,1,4.61,light rain
8,Great Falls,US,47.5002,-111.3008,56.41,58,40,11.5,scattered clouds
9,Plouzane,FR,48.3833,-4.6167,62.92,74,75,12.66,broken clouds
10,Shumerlya,RU,55.5005,46.4129,32.11,67,16,5.37,few clouds
11,Souillac,MU,-20.5167,57.5167,76.35,71,22,14.58,few clouds
12,Ushuaia,AR,-54.8,-68.3,35.22,100,90,12.66,light snow
13,Minsk,BY,53.9,27.5667,44.35,61,16,11.3,few clouds
14,Carnarvon,AU,-24.8667,113.6333,66.27,59,75,17.27,broken clouds
15,Port Hardy,CA,50.6996,-127.4199,48.27,87,100,27.81,light rain
16,Grand Island,US,40.925,-98.342,42.58,82,95,5.3,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,75.7,65,89,2.93,overcast clouds
18,Castro,BR,-24.7911,-50.0119,63.99,74,94,6.38,overcast clouds
19,Williston,US,48.147,-103.618,41.92,87,100,5.99,overcast clouds
20,Hualmay,PE,-11.0964,-77.6139,65.37,74,37,8.16,scattered clouds
21,Hobart,AU,-42.8794,147.3294,49.86,81,90,1.99,drizzle
22,Beringovskiy,RU,63.05,179.3167,9.27,79,100,5.19,overcast clouds
23,Pevek,RU,69.7008,170.3133,0.99,97,100,4.81,overcast clouds
24,Sidi Ali,DZ,36.0998,0.4206,68.94,41,87,11.32,overcast clouds
25,Honningsvag,NO,70.9821,25.9704,34.9,69,14,18.77,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,34,11.86,scattered clouds
27,Chuy,UY,-33.6971,-53.4616,74.98,39,0,18.9,clear sky
28,Mahebourg,MU,-20.4081,57.7,76.24,72,13,14.94,few clouds
29,Busselton,AU,-33.65,115.3333,46.04,65,49,6.22,scattered clouds
30,Lagoa,PT,39.05,-27.9833,66.24,76,42,8.55,scattered clouds
31,Jamestown,US,42.097,-79.2353,65.52,77,90,8.05,overcast clouds
32,Ancud,CL,-41.8697,-73.8203,53.13,93,100,12.46,light rain
33,Fairbanks,US,64.8378,-147.7164,27.61,91,90,0.0,light snow
34,Port Alfred,ZA,-33.5906,26.891,67.08,70,35,23.02,scattered clouds
35,Itarema,BR,-2.9248,-39.9167,88.12,51,50,17.45,scattered clouds
36,Brae,GB,60.3964,-1.353,51.71,79,51,23.38,broken clouds
37,Riohacha,CO,11.5444,-72.9072,85.95,63,17,16.4,few clouds
38,Weyburn,CA,49.6668,-103.8511,37.18,83,100,20.6,overcast clouds
39,Axim,GH,4.8699,-2.2405,82.58,75,45,11.1,light rain
40,Hamilton,US,39.1834,-84.5333,59.59,94,90,1.01,overcast clouds
41,Vardo,NO,70.3705,31.1107,28.6,74,55,10.89,light snow
42,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,32.21,scattered clouds
43,Moron,AR,-34.6534,-58.6198,82.02,34,0,5.01,clear sky
44,Grand Gaube,MU,-20.0064,57.6608,76.37,68,36,8.01,scattered clouds
45,Puerto El Triunfo,SV,13.2833,-88.55,82.56,79,7,3.09,clear sky
46,Talnakh,RU,69.4865,88.3972,22.8,95,100,11.95,light snow
47,Bengkulu,ID,-3.8004,102.2655,76.3,89,100,4.18,overcast clouds
48,Gamba,GA,-2.65,10.0,78.96,82,100,11.61,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,81.12,51,16,5.99,few clouds
50,Padang,ID,-0.9492,100.3543,77.05,88,100,2.62,light rain
51,Puerto Ayora,EC,-0.7393,-90.3518,71.56,94,60,5.99,broken clouds
52,Spearfish,US,44.4908,-103.8594,57.42,68,1,0.0,clear sky
53,Longyearbyen,SJ,78.2186,15.6401,21.04,68,40,26.46,scattered clouds
54,Lavrentiya,RU,65.5833,-171.0,19.33,79,100,10.25,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,75,5.75,broken clouds
56,Faya,SA,18.3851,42.4509,66.72,51,12,9.73,few clouds
57,Oneonta,US,42.4529,-75.0638,62.11,90,95,7.0,overcast clouds
58,Clyde River,CA,70.4692,-68.5914,17.76,74,92,6.02,overcast clouds
59,Vaini,TO,-21.2,-175.2,71.76,88,20,4.61,few clouds
60,Sitka,US,57.0531,-135.33,40.77,69,22,4.27,few clouds
61,Dikson,RU,73.5069,80.5464,12.72,90,100,19.69,light snow
62,Ahuimanu,US,21.4447,-157.8378,75.45,76,40,9.22,scattered clouds
63,Hasaki,JP,35.7333,140.8333,59.4,72,100,23.51,heavy intensity rain
64,Te Anau,NZ,-45.4167,167.7167,53.65,96,100,0.22,overcast clouds
65,Isiro,CD,2.7739,27.616,85.39,54,100,2.15,overcast clouds
66,Atuona,PF,-9.8,-139.0333,76.1,81,98,15.52,light rain
67,Erdenet,MN,49.0333,104.0833,32.27,60,1,3.74,clear sky
68,Nikolskoye,RU,59.7035,30.7861,48.87,83,100,11.45,overcast clouds
69,Borovichi,RU,58.3878,33.9155,39.7,85,100,12.71,overcast clouds
70,Antofagasta,CL,-23.65,-70.4,65.48,62,17,6.33,few clouds
71,Batagay,RU,67.6333,134.6333,-0.13,99,73,1.52,broken clouds
72,Kruisfontein,ZA,-34.0033,24.7314,70.88,59,0,15.77,clear sky
73,Kavaratti,IN,10.5669,72.642,82.58,76,32,11.74,scattered clouds
74,Luderitz,NA,-26.6481,15.1594,65.32,66,4,5.88,clear sky
75,Upernavik,GL,72.7868,-56.1549,14.43,65,4,6.17,clear sky
76,Tazovskiy,RU,67.4667,78.7,23.95,87,99,16.35,overcast clouds
77,Bereda,ES,43.2686,-7.5406,63.14,76,60,3.38,broken clouds
78,Hermanus,ZA,-34.4187,19.2345,80.91,56,34,22.84,scattered clouds
